Number,Question,Human FB (KM)
1,"Eine Studentin bekommt eine Klausur mit einer guten Note zurück. Sie sagt, dass sie dieses eine mal Glück gehabt hatte. Welcher Attributtionsstil passt dazu ? A)External, variabel, spezifisch B)Internal, stabil, spezifisch  C)Internal, global, spezifisch  D)External, stabil, variabel E)External, stabil spezifisch  ",A
2,Nenne zwei strukturelle und zwei funktionelle Bildgebungsverfahren. Schreibe die Wörter aus. (Freitext Frage. Antwort nach der letzten Frage.),Strukturell: Computertomographie Magnet-Resonanz-Tomographie  Funktionell:  funktionelle Magnet-Resonanz-Tomographie  Positronen-Emmissions-Tomographie
3,Nenne drei der sechs Bedürfnisse der Bedürfnisspyramide nach Maslow (von niedrig zu hoch) (Freitext Frage. Antwort nach der letzten Frage.),Physiologische Bedürfnisse Sicherheit  soziale Bedürfnisse  Wertschätzung  Selbstverwirklichung  Transzendenz
4,Nennen sie vier der sechs Entwicklungsbereiche der frühkindlichen Entwicklung 0-3 Jahre. (Freitext Frage. Antwort nach der letzten Frage.),Motorik  Sensorik  Sprache  emotionale Kompetenzen  Soziale kompetenzen  kognitive Kompetenzen
5,Nennen sie vier der sechs Thesen aus dem Schneider Modell. (Freitext Frage. Antwort nach der letzten Frage.),Materielle These  Strukturelle These  Kulturelle These  Lebensstilthese  Psychosoziale These  Biologische These
6,"Was trifft auf das Big-Five Modell zu ? A)Beschreibt Traits / Gefühle in einer bestimmten Situation. B)Beschreibt Persönlichkeit ausschließlich bei Kindern und Jugendlichen C)Beruht auf einem lexikalischen Ansatz. D)Steht für Offenheit, Gewissenhaftigkeit, Extraversion, Vertrauen, Neurozitismus E)Bei Abweichungen liegt laut DSM-5 eine Persönlichkeitsstörung vor.",C
7,"Das Biopsychovulnerable Modell besagt:  A)Je höher die Vulnerabilität, desto weniger Stress ist nötig um die diagnostische Schwelle zu überschreiten. B)Je geringer die Vulnerabilität desto weniger Stress ist nötig, um die Diagnostikschwelle zu überschreiten. C)Je höher die Vulnerabilität, desto höher die Diagnostikschwelle. D)Burnoutprävention erfolgt am besten auf der persönlichen, organisatorischen und gesellschaftspolitischen Ebene E)Ein Stressor löst bei 2 Personen unabhängig von ihrer Vulnerabilität das gleiche Maß an Stress aus ",A
8,Welche Reihenfolge der Gedächtnisse hinsichtlich der Speicherdauer trifft am Ehesten zu: A)Langzeitgedächtnis- Arbeitsgedächtnis- deklaratives Gedächtnis B)Ikonisches Gedächtnis- Langzeitgedächtnis- Kurzzeitgedächtnis C)Sensorisches Gedächtnis- Arbeitsgedächtnis- Langzeitgedächtnis D)Sensorisches Gedächtnis- Arbeitsgedächtnis- Kurzzeitgedächtnis  E)Ikonisches Gedächtnis- Arbeitsgedächtnis- echoisches Gedächtnis,C
9,"Welche Aussage zum EEG trifft NICHT zu? A)Das EEG eignet sich vor allem zum Messen der Elektrischen Aktivität kortikaler Neurone B)Das Ruhe-EEG wird entweder im Schlaf oder entspannten Wachzustand gemessen C)Die Frequenz beschreibt die Ausschläge der Wellen eines EEGs und wird in Mikrovolt angegeben D)EPs kann man einteilen in endogene und exogene Potentiale E)EPs werden durch Mittlungsprozesse errechnet, da sie sonst im Grundrauschen des EEGs untergehen ",C
10,"zu ROC Kurven und Area under the Curve bei diesen, welche Antwort ist richtig A)Die AUC ist der Gesamtindikator für den positiven und negativen Prädiktionswert B)Eine Aussagekräftige AUC erhält man, wenn man die Sensitivität auf der Y-Achse und 1-Spezifität auf der X-Achse aufträgt C)Zur Interpretation von Cut-Off-Werten werden mehrere ROC- Kurven benötigt D)Der Punkt für optimale Cut-Off-Werte liegt bei hoher Sensitivität und geringer Spezifität E)Je weiter die ROC-Kurve sich der DIagonalen annähert desto schlechter kann man sie interpretieren ",B
