Area,Tree line number,Variety,Plot,Treatment,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
D,39,ER,N2,N,12.4,12.6,15.0,10.8,13.0,14.7,16.0,14.3,13.4,14.3,17.5,12.2,12.0,15.2,13.1,13.0,13.8,12.8,15.2,15.7,12.1,11.0,11.2,15.0,13.4,8.4,15.0
D,40,ER,N1,N,11.0,11.2,11.3,13.4,14.1,13.4,15.6,13.0,15.4,14.3,14.4,12.2,13.3,14.0,11.8,9.0,13.9,15.5,9.0,15.2,12.4,15.7,14.0,11.2,15.5,11.4,13.2
D,43,ER,T2,T,9.8,9.7,11.2,10.4,9.9,12.6,9.8,9.7,13.3,11.5,13.6,11.0,11.4,11.4,11.2,16.2,13.6,10.9,11.5,10.1,11.0,12.0,13.5,12.2,12.6,12.7,10.3
D,44,ER,T1,T,10.1,12.8,10.3,10.1,9.2,11.5,11.3,11.1,17.5,11.8,14.5,9.0,14.5,10.4,15.5,11.9,10.0,14.5,11.5,9.8,10.2,13.6,11.6,9.4,11.8,10.7,12.8
D,49,LI,T6,T,9.6,9.6,9.0,7.2,9.4,9.3,8.2,9.2,8.1,8.7,8.5,9.5,9.0,9.8,8.1,7.9,9.7,10.4,8.6,7.1,8.8,8.5,8.6,8.5,6.8,6.9,7.8
D,50,LI,T5,T,9.5,9.2,10.1,7.4,7.5,7.3,7.4,9.5,9.9,10.1,9.3,7.0,8.3,7.3,8.3,9.0,8.6,8.1,10.0,9.4,8.1,8.2,9.7,7.6,8.1,9.0,8.5
D,51,CA,T4,T,10.4,15.0,13.8,13.6,12.8,16.4,10.9,14.4,,13.5,13.2,13.7,15.0,12.9,13.8,16.0,15.1,,13.3,13.8,16.0,17.3,13.6,13.3,12.8,13.9,
D,52,CA,T3,T,13.6,15.0,12.4,14.0,12.9,16.2,8.2,14.8,,12.8,17.0,14.0,14.7,11.6,17.2,14.8,13.0,,15.4,13.5,14.6,13.9,14.5,14.2,13.9,12.7,
D,53,CA,N4,N,13.7,17.2,16.7,14.7,14.5,17.5,13.8,17.5,,16.5,16.0,12.9,14.0,13.5,14.7,13.9,13.6,,13.0,15.5,16.2,15.1,10.2,16.8,14.6,16.1,
D,54,CA,N3,N,15.0,18.3,16.5,14.8,17.1,16.2,14.6,8.9,,16.5,13.4,16.7,14.8,14.8,12.8,14.7,17.6,,9.7,13.5,10.0,11.7,9.9,13.4,15.0,13.7,
