ID,Multiyear ID,Single or multiple application,Operator,Trial Type,Trial Status,Country,Location/Place,Year of Results,Crop,Seed/Transplant,Novihum Product,Granulate Size,Base Material Origin,Rate Novihum in kg/m²,Rate Novihum in Vol%,Rate Novihum in Mass%,Application Depth in m,Application Wide in m,Application Technique,Application Periode,Other Products,Fert flag,Nitrogen Compensation,Compost Manure,Drought Trial,Irrigation Level in %,Soil note,Soil Type in Numbers of Sand Silt Clay,Sand,Silt,Clay,Soil Type/Substrate,pH (Method not Known,pH (in H2O),pH (in KCl-Solution),pH (in CaCl2-Solution),Corg-Level Qualitativ,Corg-Level Quantitativ,Growth Conditions,Controlled Conditions,Result Control (Data as Recieved ),Unit1,Result Novihum (Data as Recieved),Unit2,Result Control (Edited by Novihum),Unit3,Result Novihum (Edited by Novihum),Unit4,Relative Yield difference,Statistical Significant,Standard Deviation Control,Standard Deviation Novihum,Earlier Higher Yield,Visible Quality Difference,Additional Information,Further Addition Information,Bulk Density,Row Number in Excel,Trial Quality for NN,App rate,Rel yield
4,,,Kyhna,Commercial,closed,Germany,Kyhna,2014,Strawberry,Transplants,Novihum (discontinued),not sieved,Lausitz,,,0.5,,,Flat,,,,FALSE,no,FALSE,,in-use,,,,,,,,,,Low,,protected,Yes,,,,,,,,,,FALSE,,,FALSE,-,Sorte Flair,,1200,258,+,0,
5,,,Kyhna,Commercial,closed,Germany,Kyhna,2014,Strawberry,Transplants,Novihum (discontinued),not sieved,Lausitz,,,1,,,Flat,,,,FALSE,no,FALSE,,in-use,,,,,,,,,,Low,,protected,Yes,,,,,,,,,,FALSE,,,FALSE,-,Sorte Flair,,1200,259,+,0,
6,,,Kyhna,Commercial,closed,Germany,Kyhna,2014,Strawberry,Transplants,Novihum (discontinued),not sieved,Lausitz,,,1.5,,,Flat,,,,FALSE,no,FALSE,,in-use,,,,,,,,,,Low,,protected,Yes,,,,,,,,,,FALSE,,,FALSE,-,Sorte Flair,,1200,260,+,0,
7,Wobar vineyard,single,Wobar,Science,closed,Germany,Großräschen,2015,Vines,Transplants,Novihum (discontinued),not sieved,Lausitz,,,2.01,,,Flat,single,,,FALSE,no,FALSE,,Recultivation,79;12;9,79,12,9,loamy sand,,,,6.9,Low,0.78,free,Partly,0.41,kg/Plant,1.91,kg/Plant,0.82,kg/m²,3.82,kg/m²,3.66,TRUE,,0.3,FALSE,+,Cabernet blanc,,1500,254,+,0,3.66
8,Wobar vineyard,single,Wobar,Science,closed,Germany,Großräschen,2015,Vines,Transplants,Novihum (discontinued),not sieved,Lausitz,,,2.01,,,Flat,single,CUXIN Myco Aktiv,x,FALSE,no,FALSE,,Recultivation,79;12;9,79,12,9,loamy sand,,,,6.9,Low,0.78,free,Partly,0.41,kg/Plant,1.12,kg/Plant,0.82,kg/m²,2.24,kg/m²,1.73,TRUE,,0.5,FALSE,+,Cabernet blanc,,1500,255,+,0,1.73
9,Wobar vineyard,single,Wobar,Science,closed,Germany,Großräschen,2016,Vines,Transplants,Novihum (discontinued),not sieved,Lausitz,,,2.01,,,Flat,single,,,FALSE,no,FALSE,,Recultivation,79;12;9,79,12,9,loamy sand,,,,6.9,Low,0.78,free,Partly,1.29,kg/Plant,2.84,kg/Plant,2.58,kg/m²,5.68,kg/m²,1.20,FALSE,1.52,2.2,FALSE,+,Cabernet blanc,,1500,256,+,0,1.20
10,Wobar vineyard,single,Wobar,Science,closed,Germany,Großräschen,2016,Vines,Transplants,Novihum (discontinued),not sieved,Lausitz,,,2.01,,,Flat,single,Cuxin Myco Aktiv,x,FALSE,no,FALSE,,Recultivation,79;12;9,79,12,9,loamy sand,,,,6.9,Low,0.78,free,Partly,1.29,kg/Plant,2.79,kg/Plant,2.58,kg/m²,5.58,kg/m²,1.16,FALSE,1.52,2.3,FALSE,+,Cabernet blanc,,1500,257,+,0,1.16
11,,,Ricken,Commercial,closed,Germany,Lieberose,2013,Cucumber,Transplants,Novihum (discontinued),not sieved,Lausitz,0.25,,,0.2,1,Flat,,,,FALSE,control,FALSE,,in-use,,,,,,,,,,Mid,,protected,Yes,52.6,kg FM,56,kg FM,,,,,0.06,FALSE,,,FALSE,+,,,,152,+,2500,0.06
12,,,Ricken,Commercial,closed,Germany,Lieberose,2013,Cucumber,Transplants,Novihum (discontinued),not sieved,Lausitz,0.25,,,0.2,1,Flat,,"0,3 - 0,4 kg/m² cow manure",x,FALSE,both,FALSE,,in-use,,,,,,,,,,Mid,,protected,Yes,52.6,kg FM,54,kg FM,,,,,0.03,FALSE,,,FALSE,+,,,,153,+,2500,0.03
13,,,Ricken,Commercial,closed,Germany,Lieberose,2013,Cucumber,Transplants,Novihum (discontinued),not sieved,Lausitz,0.25,,,0.2,1,Flat,,"0,6 - 0,8 kg/m² cow manure",x,FALSE,both,FALSE,,in-use,,,,,,,,,,Mid,,protected,Yes,52.6,kg FM,55.8,kg FM,,,,,0.06,FALSE,,,FALSE,+,,,,154,+,2500,0.06
14,,,Ricken,Commercial,closed,Germany,Bolschwitz,2016,Gherkin,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.3,1,Flat,,,,FALSE,no,FALSE,,sandy in-use,,,,,,,,,,Low,,free,Partly,12.7,kg/m²,13.8,kg/m²,12.7,kg/m²,13.8,kg/m²,0.09,TRUE,,,FALSE,+,,,,155,+,5000,0.09
15,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2001,Mustard,Seeds,Novihum (discontinued),not sieved,Lausitz,0.9,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,80;14;6,80,14,6,loamy sand,,8.4,7.9,,Low,0.05,free,No,,,,,,,,,,FALSE,,,FALSE,o,,,,2,+,9000,
16,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2001,Mustard,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,78;15;7,78,15,7,loamy sand,,8.4,7.9,,Low,0.05,free,No,,,,,,,,,,FALSE,,,FALSE,o,,,,3,+,18000,
